Time (s),Voltage (V),Current (A)
0.0031,0.4961,2.272512966
0.21,-1.8273,-8.408297973
0.421,0.4991,2.281471004
0.6276,0.5193,2.362093352
0.837,0.5382,2.456859972
1.0457,0.5596,2.549269213
1.2536,0.5798,2.658651579
1.4629,0.6018,2.753889675
1.6709,0.6262,2.874587459
1.8791,0.6433,2.9669967
2.0872,0.6635,3.047619048
2.295,0.6824,3.139556813
2.504,0.7056,3.223479491
2.7121,0.7246,3.332861858
2.9204,0.7478,3.413484206
3.1287,0.7667,3.520037718
3.3371,0.7869,3.620933522
3.5459,0.8089,3.710042433
3.7533,0.8278,3.808109382
3.9617,0.8504,3.902876002
4.1701,0.8706,4.012729844
4.3786,0.8932,4.107496464
4.5869,0.9152,4.205563413
4.7953,0.9348,4.300330033
5.0033,0.9543,4.395568128
5.014,0.9745,4.484677039
5.218,0.9971,4.57708628
5.423,0.9946,4.579915134
5.6267,0.9745,4.476190476
5.8312,0.9567,4.38991042
6.0356,0.9335,4.306459217
6.2391,0.9115,4.202734559
6.4436,0.8944,4.107496464
6.6472,0.8755,4.012729844
6.8511,0.8511,3.931636021
7.0561,0.8327,3.8194248
7.2601,0.8138,3.747289015
7.4622,0.7924,3.643564356
7.6674,0.7722,3.537010844
7.8717,0.7515,3.445073079
8.0756,0.7319,3.355964168
8.2798,0.7124,3.266383781
8.4839,0.6891,3.162659123
8.6878,0.672,3.084865629
8.8924,0.6494,2.99009901
9.0964,0.6311,2.886374352
9.3007,0.6122,2.785478548
9.5049,0.5902,2.707685054
9.7084,0.5694,2.601131542
9.9125,0.5462,2.511551155
10.1167,0.5285,2.408297973
10.3207,0.5071,2.32154644
10.5256,0.4869,2.226779821
10.7289,0.4662,2.137199434
10.9328,0.4484,2.033474776
11.1371,0.4271,1.944365865
11.341,0.4051,1.843470061
11.5448,0.388,1.751532296
11.7494,0.3647,1.653465347
11.9535,0.3476,1.56388496
12.1574,0.3269,1.471947195
12.3616,0.3055,1.382838284
12.5658,0.2847,1.296086752
12.7699,0.2633,1.195190948
12.9734,0.2438,1.09476662
13.1775,0.223,1.002357379
13.3819,0.2022,0.89863272
13.5855,0.1827,0.806694955
13.79,0.1637,0.717114569
13.9932,0.143,0.619519095
14.1981,0.121,0.529938708
14.4024,0.102,0.435172089
14.6087,0.0794,0.342762848
14.8106,0.0648,0.244695898
15.0131,0.0415,0.152758133
15.0536,0.022,0.051862329
15.2642,0.0012,-0.028760019
15.4728,0.0006,-0.037246582
15.6804,0.0232,0.060348892
15.8891,0.0434,0.152758133
16.0971,0.0629,0.244695898
16.3059,0.0837,0.351249411
16.5142,0.1039,0.438000943
16.7228,0.1234,0.550212164
16.9306,0.1466,0.630834512
17.1387,0.1668,0.731730316
17.3476,0.187,0.835454974
17.5557,0.2102,0.930221594
17.7643,0.2279,1.033946252
17.9723,0.2511,1.123526638
18.181,0.2688,1.204148986
18.3891,0.2908,1.319189062
18.5962,0.3122,1.411598303
18.806,0.3317,1.500707214
19.0139,0.3507,1.593116455
19.2228,0.3727,1.682225365
19.4307,0.3947,1.794436587
19.6389,0.4142,1.880716643
19.8475,0.435,1.975954738
20.0555,0.4552,2.082508251
